©	版权
🎊	五彩纸屑
🎋	七夕
🎌	交叉旗
🎍	门松
🎎	日本人偶
🎏	鲤鱼旗
🎐	风铃
🎑	赏月
🎒	书包
🎓	毕业帽
🎖	军功章
🎗	丝带
🎙	录音室麦克风
🎚	调节滑块
🎛	控制旋钮
🎞	电影胶卷
🎟	入场券
🎠	旋转木马
🎡	摩天轮
🎢	过山车
🎣	钓鱼竿
🎤	麦克风
🎥	摄影机
🎦	电影院
🎧	耳机
🎨	调色盘
🎩	礼帽
🎪	马戏团帐篷
🎫	票
🎬	场记板
🎭	面具
🎮	游戏手柄
🎯	正中靶心的飞镖
🎰	老虎机
🎱	台球
🎲	骰子
🎳	保龄球
🎴	花札
🎵	音符
🎶	多个音符
🎷	萨克斯风
🎸	吉他
🎹	音乐键盘
🎺	小号
🎻	小提琴
🎼	乐谱
🎽	运动背心
🎾	网球
🎿	滑雪
🏀	篮球
🏁	终点旗
🏂	滑雪板
🏃	跑步者
🏄	冲浪
🏅	奖牌
🏆	奖杯
🏇	赛马
🏈	美式橄榄球
🏉	英式橄榄球
🏊	游泳
🏋	举重
🏌	打高尔夫的人
🏍	摩托车
🏎	赛车
🏏	板球
🏐	排球
🏑	曲棍球
🏒	冰球
🏓	乒乓球
🏔	雪山
🏕	露营
🏖	沙滩伞
🏗	施工
🏘	房屋建筑
🏙	城市风光
🏚	废墟
🏛	古典建筑
🏜	沙漠
🏝	无人荒岛
🏞	国家公园
🏟	体育馆
🏠	房子
🏡	别墅
🏢	办公楼
🏣	日本邮局
🏤	欧洲邮局
🏥	医院
🏦	银行
🏧	取款机
🏨	酒店
🏩	情人酒店
🏪	便利店
🏫	学校
🏬	商场
🏭	工厂
🏮	红灯笼
🏯	日本城堡
🏰	欧洲城堡
🏳	举白旗
🏴	举黑旗
🏵	圆形花饰
🏷	标签
🏸	羽毛球
🏹	弓箭
🏺	双耳瓶
🏻	较浅肤色
🏼	中等-浅肤色
🏽	中等肤色
🏾	中等-深肤色
🏿	较深肤色
🐀	耗子
🐁	老鼠
🐂	公牛
🐃	水牛
🐄	奶牛
🐅	老虎
🐆	豹子
🐇	兔子
🐈	猫
🐉	龙
🐊	鳄鱼
🐋	鲸鱼
🐌	蜗牛
🐍	蛇
🐎	马
🐏	公羊
🐐	山羊
🐑	绵羊
🐒	猴子
🐓	公鸡
🐔	母鸡
🐕	狗
🐖	猪
🐗	野猪
🐘	大象
🐙	章鱼
🐚	海螺
🐛	毛毛虫
🐜	蚂蚁
🐝	蜜蜂
🐞	瓢虫
🐟	鱼
🐠	热带鱼
🐡	河豚
🐢	龟
🐣	小鸡破壳
🐤	小鸡
🐥	正面朝向的小鸡
🐦	鸟
🐧	企鹅
🐨	考拉
🐩	贵宾犬
🐪	骆驼
🐫	双峰骆驼
🐬	海豚
🐭	老鼠头
🐮	奶牛头
🐯	老虎头
🐰	兔子头
🐱	猫脸
🐲	龙头
🐳	喷水的鲸
🐴	马头
🐵	猴头
🐶	狗脸
🐷	猪头
🐸	青蛙头
🐹	仓鼠
🐺	狼头
🐻	熊头
🐼	熊猫
🐽	猪鼻子
🐾	爪印
🐿	松鼠
👀	双眼
👁	眼睛
👂	耳朵
👃	鼻子
👄	嘴
👅	舌头
👆	反手食指向上指
👇	反手食指向下指
👈	反手食指向左指
👉	反手食指向右指
👊	出拳
👋	挥手
👌	OK
👍	拇指向上
👎	拇指向下
👏	鼓掌
👐	张开双手
👑	皇冠
👒	女帽
👓	眼镜
👔	领带
👕	T恤
👖	牛仔裤
👗	连衣裙
👘	和服
👙	比基尼
👚	女装
👛	钱包
👜	手提包
👝	手袋
👞	男鞋
👟	跑鞋
👠	高跟鞋
👡	女式凉鞋
👢	女靴
👣	脚印
👤	人像
👥	双人像
👦	男孩
👧	女孩
👨	男人
👩	女人
👪	家庭
👫	手拉手的一男一女
👬	手拉手的两个男人
👭	手拉手的两个女人
👮	警察
👯	派对
👰	新娘
👱	金色头发的人
👲	戴瓜皮帽的人
👳	戴头巾的人
👴	老爷爷
👵	老奶奶
👶	小宝贝
👷	建筑工人
👸	公主
👹	食人魔
👺	天狗
👻	鬼
👼	小天使
👽	外星人
👾	怪物
👿	恶魔
💀	头骨
💁	前台
💂	卫兵
💃	舞者
💄	唇膏
💅	涂指甲油
💆	按摩
💇	理发
💈	理发店
💉	注射器
💊	药丸
💋	唇印
💌	情书
💍	戒指
💎	宝石
💏	亲吻
💐	花束
💑	情侣
💒	婚礼
💓	心跳
💔	心碎
💕	两颗心
💖	闪亮的心
💗	搏动的心
💘	心中箭了
💙	蓝心
💚	绿心
💛	黄心
💜	紫心
💝	系有缎带的心
💞	舞动的心
💟	心型装饰
💠	梅花形
💡	灯泡
💢	怒
💣	炸弹
💤	睡着
💥	爆炸
💦	汗滴
💧	水滴
💨	尾气
💩	大便
💪	肌肉
💫	头晕
💬	话语气泡
💭	内心活动气泡
💮	白花
💯	一百分
💰	钱袋
💱	换汇
💲	美元符号
💳	信用卡
💴	日元
💵	美元
💶	欧元
💷	英镑
💸	长翅膀的钱
💹	货币升值图表
💺	座位
💻	笔记本电脑
💼	公文包
💽	迷你光盘
💾	软盘
💿	光盘
📀	DVD
📁	文件夹
📂	打开文件夹
📃	纸张
📄	文件
📅	日历
📆	手撕日历
📇	卡牌索引
📈	上涨图表
📉	下跌图表
📊	柱形图
📋	剪贴板
📌	图钉
📍	圆图钉
📎	回形针
📏	直尺
📐	三角尺
📑	标签页
📒	账本
📓	笔记本
📔	精装笔记本
📕	书本
📖	打开的书本
📗	绿色书本
📘	蓝色书本
📙	橙色书本
📚	书
📛	名牌
📜	卷轴
📝	备忘录
📞	听筒
📟	寻呼机
📠	传真机
📡	卫星天线
📢	喇叭
📣	扩音器
📤	发件箱
📥	收件箱
📦	包裹
📧	邮件
📨	收到邮件
📩	发邮件
📪	无待收信件
📫	有待收信件
📬	有新信件
📭	无新信件
📮	邮筒
📯	邮号
📰	报纸
📱	手机
📲	带有箭头的手机
📳	振动模式
📴	关闭手机
📵	禁止使用手机
📶	信号栏
📷	相机
📸	带闪光灯的相机
📹	录像机
📺	电视
📻	收音机
📼	录像带
📽	电影放映机
📿	念珠
🔀	随机播放
🔁	循环播放
🔂	单曲循环
