®	marque déposée
🎢	montagnes russes
🎣	pêche à la ligne
🎤	micro
🎥	caméra
🎦	cinéma
🎧	casque
🎨	palette de peinture
🎩	haut de forme
🎪	chapiteau
🎫	billet
🎬	clap
🎭	spectacle vivant
🎮	jeu vidéo
🎯	dans le mille
🎰	machine à sous
🎱	billard
🎲	dés
🎳	bowling
🎴	jeu des fleurs
🎵	note de musique
🎶	notes de musique
🎷	saxophone
🎸	guitare
🎹	piano
🎺	trompette
🎻	violon
🎼	partition
🎽	maillot de course
🎾	tennis
🎿	ski
🏀	basket
🏁	drapeau à damier
🏂	snowboardeur
🏃	personne qui court
🏄	personne faisant du surf
🏅	médaille sportive
🏆	trophée
🏇	course hippique
🏈	football américain
🏉	rugby
🏊	personne nageant
🏋	haltérophile
🏌	joueur de golf
🏍	moto
🏎	voiture de course
🏏	cricket
🏐	volley-ball
🏑	hockey sur gazon
🏒	hockey sur glace
🏓	ping-pong
🏔	montagne enneigée
🏕	camping
🏖	plage avec parasol
🏗	construction d’un bâtiment
🏘	maisons
🏙	ville
🏚	maison abandonnée
🏛	monument classique
🏜	désert
🏝	île déserte
🏞	parc national
🏟	stade
🏠	pavillon
🏡	maison avec jardin
🏢	immeuble de bureaux
🏣	bureau de poste japonais
🏤	bureau de poste
🏥	hôpital
🏦	banque
🏧	distributeur de billets
🏨	hôtel
🏩	love hotel
🏪	supérette
🏫	école
🏬	grand magasin
🏭	usine
🏮	lampion rouge
🏯	château japonais
🏰	château
🏳	drapeau blanc
🏴	drapeau noir
🏵	rosette
🏷	étiquette
🏸	badminton
🏹	arc et flèche
🏺	amphore
🏻	peau claire
🏼	peau moyennement claire
🏽	peau légèrement mate
🏾	peau mate
🏿	peau foncée
🐀	rat
🐁	souris
🐂	bœuf
🐃	buffle
🐄	vache
🐅	tigre
🐆	léopard
🐇	lapin
🐈	chat
🐉	dragon
🐊	crocodile
🐋	baleine
🐌	escargot
🐍	serpent
🐎	cheval
🐏	bélier
🐐	chèvre
🐑	mouton
🐒	singe
🐓	coq
🐔	poule
🐕	chien
🐖	cochon
🐗	sanglier
🐘	éléphant
🐙	pieuvre
🐚	coquille en spirale
🐛	chenille
🐜	fourmi
🐝	abeille
🐞	coccinelle
🐟	poisson
🐠	poisson tropical
🐡	poisson-lune
🐢	tortue
🐣	poussin qui éclôt
🐤	poussin
🐥	poussin de face
🐦	oiseau
🐧	pingouin
🐨	koala
🐩	caniche
🐪	dromadaire
🐫	chameau
🐬	dauphin
🐭	tête de souris
🐮	tête de vache
🐯	tête de tigre
🐰	tête de lapin
🐱	tête de chat
🐲	tête de dragon
🐳	baleine soufflant par son évent
🐴	tête de cheval
🐵	tête de singe
🐶	tête de chien
🐷	tête de cochon
🐸	tête de grenouille
🐹	tête de hamster
🐺	tête de loup
🐻	tête d’ours
🐼	tête de panda
🐽	groin
🐾	empreintes d’animaux
🐿	écureuil
👀	yeux
👁	œil
👂	oreille
👃	nez
👄	bouche
👅	langue
👆	main avec index pointant vers le haut
👇	main avec index pointant vers le bas
👈	main avec index pointant à gauche
👉	main avec index pointant à droite
👊	poing de face
👋	signe de la main
👌	ok
👍	pouce vers le haut
👎	pouce vers le bas
👏	applaudissements
👐	mains ouvertes
👑	couronne
👒	chapeau de femme
👓	lunettes de vue
👔	cravate
👕	T-shirt
👖	jean
👗	robe
👘	kimono
👙	bikini
👚	vêtements de femme
👛	porte-monnaie
👜	sac à main
👝	pochette
👞	chaussure d’homme
👟	chaussure de sport
👠	chaussure à talon haut
👡	sandale de femme
👢	botte de femme
👣	traces de pas
👤	silhouette de buste
👥	silhouettes de bustes
👦	garçon
👧	fille
👨	homme
👩	femme
👪	famille
👫	homme et femme se tenant la main
👬	deux hommes se tenant la main
👭	deux femmes se tenant la main
👮	officier de police
👯	personnes avec des oreilles de lapin
👰	mariée avec voile
👱	personne blonde
👲	homme avec casquette chinoise
👳	personne en turban
👴	homme âgé
👵	femme âgée
👶	bébé
👷	personnel du bâtiment
👸	princesse
👹	ogre
👺	monstre japonais
👻	fantôme
👼	bébé ange
👽	alien
👾	monstre de l’espace
👿	visage en colère avec des cornes
💀	crâne
💁	personne paume vers le haut
💂	garde
💃	danseuse
💄	rouge à lèvres
💅	vernis à ongles
💆	personne qui se fait masser
💇	personne qui se fait couper les cheveux
💈	enseigne de barbier
💉	seringue
💊	pilule
💋	trace de rouge à lèvres
💌	lettre d’amour
💍	bague
💎	pierre précieuse
💏	bisou
💐	bouquet
💑	couple avec cœur
💒	mariage
💓	cœur battant
💔	cœur brisé
💕	deux cœurs
💖	cœur étincelant
💗	cœur grandissant
💘	cœur et flèche
💙	cœur bleu
💚	cœur vert
💛	cœur jaune
💜	cœur violet
💝	cœur avec ruban
💞	cœurs qui tournent
💟	décoration avec cœur
💠	diamant avec un point
💡	ampoule
💢	symbole de colère
💣	bombe
💤	endormi
💥	explosion
💦	gouttes de sueur
💧	goutte d’eau
💨	décamper
💩	tas de crotte
💪	biceps contracté
💫	étourdissement
💬	bulle de parole
💭	bulle de pensée
💮	fleur blanche
💯	cent points
💰	sac plein d’argent
💱	conversion de devise
💲	dollar
💳	carte bancaire
