©	bản quyền
◷	hình tròn rỗng với góc phần tư phía trên bên phải
◻	hình vuông trung bình màu trắng
◼	hình vuông trung bình màu đen
◽	hình vuông nhỏ vừa màu trắng
◾	hình vuông nhỏ vừa màu đen
◿	hình tam giác dưới bên phải
☀	mặt trời
☁	đám mây
☂	cái ô
☃	người tuyết
☄	sao chổi
☎	điện thoại bàn
☑	hộp kiểm có dấu chọn
☔	cái ô với những giọt nước mưa
☕	đồ uống nóng
☘	cỏ ba lá
☝	ngón trỏ chỉ lên trên
☠	đầu lâu xương chéo
☢	phóng xạ
☣	nguy hiểm sinh học
☦	thập giá chính thống giáo
☪	sao và trăng lưỡi liềm
☮	biểu tượng hòa bình
☯	âm dương
☸	pháp luân
☹	mặt cau mày
☺	mặt cười
♀	ký hiệu nữ
♂	ký hiệu nam
♈	Bạch Dương
♉	Kim Ngưu
♊	Song Tử
♋	Cự Giải
♌	Sư Tử
♍	Xử Nữ
♎	Thiên Bình
♏	cung bọ cạp
♐	Nhân Mã
♑	Ma Kết
♒	Bảo Bình
♓	song ngư
♟	tốt
♠	bộ bích
♣	bộ nhép
♥	bộ cơ
♦	bộ rô
♨	suối nước nóng
♪	nốt móc đơn
♭	nốt giáng
♯	nốt thăng
♻	biểu tượng tái chế
♾	vô cực
♿	biểu tượng xe lăn
⚒	búa và búa chim
⚓	mỏ neo
⚔	kiếm bắt chéo
⚕	biểu tượng y tế
⚖	cân thăng bằng
⚗	bình chưng cất
⚙	bánh răng
⚛	biểu tượng nguyên tử
⚜	hoa diên vĩ
⚠	cảnh báo
⚡	điện cao thế
⚧	biểu tượng chuyển giới
⚪	hình tròn màu trắng
⚫	hình tròn màu đen
⚰	quan tài
⚱	bình đựng tro cốt
⚽	bóng đá
⚾	bóng chày
⛄	người tuyết không có tuyết
⛅	mặt trời sau đám mây
⛈	đám mây với tia chớp và mưa
⛎	Xà Phu
⛏	búa chim
⛑	mũ bảo hiểm của lính cứu hộ
⛓	dây xích
⛔	cấm vào
⛩	đền thờ shinto
⛪	nhà thờ
⛰	núi
⛱	cái ô trên mặt đất
⛲	đài phun nước
⛳	cờ trong lỗ
⛴	phà
⛵	thuyền buồm
⛷	người sử dụng ván trượt tuyết
⛸	giày trượt băng
⛹	người chơi bóng
⛺	lều
⛽	bơm nhiên liệu
✂	kéo
✅	dấu chọn đậm màu trắng
✈	máy bay
✉	phong bì
✊	nắm đấm giơ lên
✋	bàn tay giơ lên
✌	tay chiến thắng
✍	bàn tay đang viết
✏	bút chì
✒	ngòi bút đen
✔	dấu chọn đậm
✖	dấu nhân x đậm
✝	thánh giá la-tinh
✡	ngôi sao sáu cánh
✨	ánh lấp lánh
✳	dấu hoa thị tám cánh
✴	ngôi sao tám cánh
❄	bông tuyết
❇	lấp lánh
❌	dấu gạch chéo
❎	nút dấu gạch chéo
❓	dấu chấm hỏi
❔	dấu chấm hỏi màu trắng
❕	dấu chấm than màu trắng
❗	dấu chấm than
❣	dấu chấm than hình trái tim đậm
❤	trái tim màu đỏ
➕	dấu cộng đậm
➖	dấu trừ đậm
➗	dấu chia đậm
➡	mũi tên phải
➰	vòng lặp
➿	vòng lặp đôi
⤴	mũi tên phải cong lên
⤵	mũi tên phải cong xuống
⨧	dấu cộng với chỉ số dưới hai
⨯	tích vectơ hữu hướng
⨼	tích tự đẳng cấu trong
⩣	logic hoặc gạch dưới kép
⩽	nhỏ hơn hoặc nghiêng bằng
⪍	nhỏ hơn hoặc đồng dạng bằng
⪚	dấu bằng kép hoặc lớn hơn
⪺	đứng sau hoặc gần như không bằng
⬅	mũi tên trái
⬆	mũi tên lên
⬇	mũi tên xuống
⬛	hình vuông lớn màu đen
⬜	hình vuông lớn màu trắng
⭐	ngôi sao trung bình màu trắng
⭕	vòng tròn lớn đậm
〰	dấu gạch ngang lượn sóng
〽	ký hiệu thay đổi luân phiên
㊗	nút Tiếng Nhật chúc mừng”
㊙	nút Tiếng Nhật bí mật”
﷼	rial
🅰	nút A (nhóm máu)
🅱	nút B (nhóm máu)
🅾	nút O (nhóm máu)
🅿	nút P
🆎	nút AB (nhóm máu)
🆑	nút CL
🆒	nút COOL
🆓	nút FREE
🆔	nút ID
🆕	nút NEW
🆖	nút NG
🆗	nút OK
🆘	nút SOS
🆙	nút UP!
🆚	nút VS
🇨🇶	cờ Sark
🈁	nút Tiếng Nhật tại đây”
🈂	nút Tiếng Nhật phí dịch vụ”
🈚	nút Tiếng Nhật miễn phí”
🈯	nút Tiếng Nhật đặt trước”
🈲	nút Tiếng Nhật bị cấm”
🈳	nút Tiếng Nhật còn trống”
🈴	nút Tiếng Nhật vượt cấp”
🈵	chữ tượng hình đầy đủ trong hình vuông
🈶	nút Tiếng Nhật không miễn phí”
🈷	nút Tiếng Nhật số tiền hàng tháng”
🈸	nút Tiếng Nhật đơn xin”
🈹	nút Tiếng Nhật giảm giá”
🈺	nút Tiếng Nhật mở cửa kinh doanh”
🉐	nút Tiếng Nhật mặc cả”
🉑	nút Tiếng Nhật có thể chấp nhận”
🀄	mạt chược rồng đỏ
🃏	quân phăng teo
🌀	hình lốc xoáy
🌁	có sương
🌂	ô đã đóng
🌃	đêm có sao
🌄	bình minh trên núi
🌅	bình minh
🌆	khung cảnh thành phố lúc chạng vạng
🌇	hoàng hôn
🌈	cầu vồng
🌉	cây cầu về đêm
🌊	sóng nước
🌋	núi lửa
🌌	giải ngân hà
🌍	quả cầu châu Âu-châu Phi
🌎	quả cầu châu Mỹ
🌏	quả cầu châu Á-châu Úc
🌐	địa cầu với kinh tuyến
🌑	trăng non
🌒	trăng lưỡi liềm đầu tháng
🌓	trăng thượng huyền
🌔	trăng khuyết
🌕	trăng tròn
🌖	trăng khuyết cuối tháng
🌗	trăng hạ huyền
🌘	trăng lưỡi liềm cuối tháng
🌙	trăng lưỡi liềm
🌚	mặt trăng non
🌛	mặt trăng thượng huyền
🌜	mặt trăng hạ huyền
🌝	mặt trăng tròn
🌞	ông mặt trời
🌟	ngôi sao lấp lánh
🌠	sao băng
🌡	nhiệt kế
🌤	mặt trời sau đám mây nhỏ
🌥	mặt trời sau đám mây lớn
🌦	mặt trời sau đám mây mưa
🌧	mây và mưa
🌨	mây và tuyết
🌩	mây và sét
🌪	lốc xoáy
🌫	sương mù
🌬	mặt gió
🌭	xúc xích
🌮	bánh taco
🌯	bánh burrito
🌰	hạt dẻ
🌱	cây con
🌲	cây thường xanh
🌳	cây rụng lá
🌴	cây cọ
🌵	cây xương rồng
🌶	quả ớt
🌷	hoa tuy-líp
🌸	hoa anh đào
🌹	hoa hồng
🌺	hoa dâm bụt
🌻	hoa hướng dương
🌼	hoa
🌽	bắp ngô
🌾	bó lúa
🌿	thảo mộc
🍀	cỏ bốn lá
🍁	lá phong
🍂	lá rụng
🍃	lá rung rinh trong gió
🍄	nấm
