©	copyright
🏅	medaglia sportiva
🏆	coppa
🏇	ippica
🏈	football americano
🏉	pallone da rugby
🏊	persona che nuota
🏋	persona che solleva pesi
🏌	giocatore di golf
🏍	motocicletta
🏎	auto da corsa
🏏	cricket
🏐	pallavolo
🏑	hockey su prato
🏒	hockey su ghiaccio
🏓	ping pong
🏔	montagna innevata
🏕	campeggio
🏖	ombrellone in spiaggia
🏗	edificio in costruzione
🏘	case
🏙	paesaggio urbano
🏚	casa in rovina
🏛	edificio classico
🏜	deserto
🏝	isola deserta
🏞	parco nazionale
🏟	stadio
🏠	casa
🏡	casa con giardino
🏢	edifico di uffici
🏣	ufficio postale giapponese
🏤	ufficio postale
🏥	ospedale
🏦	banca
🏧	simbolo dello sportello bancomat
🏨	hotel
🏩	motel
🏪	minimarket
🏫	scuola
🏬	grande magazzino
🏭	fabbrica
🏮	lanterna rossa
🏯	casa giapponese
🏰	castello
🏳	bandiera bianca
🏴	bandiera nera
🏵	rosetta
🏷	etichetta
🏸	badminton
🏹	arco e freccia
🏺	anfora
🏻	fototipo uno o due
🏼	fototipo tre
🏽	fototipo quattro
🏾	fototipo cinque
🏿	fototipo sei
🐀	ratto
🐁	topo
🐂	bue
🐃	bufalo d’acqua
🐄	mucca
🐅	tigre
🐆	leopardo
🐇	coniglio
🐈	gatto
🐉	drago
🐊	coccodrillo
🐋	balena
🐌	lumaca
🐍	serpente
🐎	cavallo
🐏	montone
🐐	capra
🐑	pecora
🐒	scimmia
🐓	gallo
🐔	gallina
🐕	cane
🐖	maiale
🐗	cinghiale
🐘	elefante
🐙	polpo
🐚	conchiglia
🐛	insetto
🐜	formica
🐝	ape
🐞	coccinella
🐟	pesce
🐠	pesce tropicale
🐡	pesce palla
🐢	tartaruga
🐣	pulcino che nasce
🐤	pulcino
🐥	pulcino visto di fronte
🐦	uccello
🐧	pinguino
🐨	koala
🐩	barboncino
🐪	dromedario
🐫	cammello
🐬	delfino
🐭	faccina topo
🐮	faccina mucca
🐯	faccina tigre
🐰	faccina coniglio
🐱	faccina gatto
🐲	faccina drago
🐳	balena che spruzza acqua
🐴	faccina cavallo
🐵	faccina scimmia
🐶	faccina cane
🐷	faccina maiale
🐸	faccina rana
🐹	faccina criceto
🐺	faccina lupo
🐻	faccina orso
🐼	faccina panda
🐽	naso maiale
🐾	impronte di zampe
🐿	scoiattolo
👀	occhi
👁	occhio
👂	orecchio
👃	naso
👄	bocca
👅	lingua
👆	indice alzato
👇	indice abbassato
👈	indice verso sinistra
👉	indice verso destra
👊	pugno chiuso
👋	mano che saluta
👌	mano che fa OK
👍	pollice in su
👎	pollice verso
👏	mani che applaudono
👐	mani aperte
👑	corona
👒	cappello da donna
👓	occhiali da vista
👔	cravatta
👕	t-shirt
👖	jeans
👗	vestito
👘	kimono
👙	bikini
👚	maglietta da donna
👛	borsellino
👜	borsa
👝	pochette
👞	scarpa da uomo
👟	scarpa sportiva
👠	scarpa con il tacco
👡	sandalo da donna
👢	stivale da donna
👣	impronta di piedi
👤	profilo di persona
👥	profilo di due persone
👦	bambino
👧	bambina
👨	uomo
👩	donna
👪	famiglia
👫	uomo e donna che si tengono per mano
👬	due uomini che si tengono per mano
👭	due donne che si tengono per mano
👮	poliziotto
👯	persone con orecchie da coniglio
👰	sposa
👱	persona bionda
👲	uomo con zucchetto cinese
👳	persona con turbante
👴	uomo anziano
👵	donna anziana
👶	neonato
👷	operaio edile
👸	principessa
👹	orco
👺	goblin
👻	fantasma
👼	angioletto
👽	alieno
👾	mostro alieno
👿	faccina arrabbiata con corna
💀	teschio
💁	persona al punto informazioni
💂	guardia
💃	donna che balla
💄	rossetto
💅	smalto per unghie
💆	massaggio facciale
💇	taglio di capelli
💈	barbiere
💉	siringa
💊	pillola
💋	segno delle labbra
💌	lettera d’amore
💍	anello
💎	gemma
💏	bacio tra coppia
💐	mazzo di fiori
💑	coppia con cuore
💒	chiesa per matrimonio
💓	cuore che batte
💔	cuore infranto
💕	due cuori
💖	cuore che luccica
💗	cuore che cresce
💘	cuore con freccia
💙	cuore azzurro
💚	cuore verde
💛	cuore giallo
💜	cuore viola
💝	cuore con fiocco
💞	cuori che girano
💟	decorazione con cuore
💠	petalo di fiore
💡	lampadina
💢	rabbia
💣	bomba
💤	sonno
💥	collisione
💦	bagno di sudore
💧	goccia
💨	nuvola di polvere
💩	cacca
💪	bicipite
💫	vorticoso
💬	fumetto
💭	nuvoletta
💮	fiore bianco
💯	cento punti
💰	sacco di soldi
💱	cambio valuta
💲	Dollaro
💳	carta di credito
💴	banconota Yen
💵	banconota Dollaro
💶	banconota Euro
💷	banconota Sterlina
💸	soldi con le ali
💹	grafico ascendente
💺	sedile
💻	computer portatile
💼	valigetta
💽	minidisc
💾	floppy disc
💿	disco ottico
📀	DVD
📁	cartella file
📂	cartella aperta
📃	pagina con piega
📄	pagina
📅	calendario
📆	calendario a strappo
📇	schedario
📈	grafico con andamento positivo
📉	grafico con andamento negativo
📊	grafico a barre
📋	portablocco
📌	puntina
📍	puntina arrotondata
📎	graffetta
📏	righello
📐	squadra
📑	etichette segnalibro
📒	quaderno ad anelli
📓	quaderno
📔	quaderno con copertina decorata
📕	libro chiuso
📖	libro aperto
📗	libro verde
📘	libro blu
📙	libro arancione
📚	libri
📛	tesserino per nome
📜	pergamena
📝	memo
📞	cornetta
📟	cercapersone
📠	fax
📡	antenna satellitare
📢	altoparlante
📣	megafono
📤	posta inviata
📥	posta ricevuta
📦	pacco
📧	email
📨	posta in arrivo
📩	posta in uscita
📪	cassetta postale chiusa bandierina abbassata
📫	cassetta postale chiusa bandierina alzata
📬	cassetta postale aperta bandierina alzata
📭	cassetta postale con bandierina abbassata
📮	cassetta delle lettere
📯	corno postale
📰	quotidiano
📱	telefono cellulare
📲	telefono cellulare con freccia
📳	modalità vibrazione
📴	cellulare spento
📵	divieto cellulare
📶	segnale cellulare
📷	fotocamera
📸	fotocamera con flash
📹	videocamera
📺	televisore
📻	radio
📼	videocassetta
📽	proiettore cinematografico
📿	rosario
🔀	frecce incrociate verso destra
🔁	frecce a cerchio
🔂	frecce a cerchio numero uno
🔃	frecce a cerchio verticali
🔄	frecce a cerchio aperto
🔅	bassa luminosità
🔆	alta luminosità
🔇	altoparlante disattivato
🔈	altoparlante a volume basso
🔉	altoparlante a volume intermedio
🔊	altoparlante a volume alto
🔋	batteria
🔌	spina elettrica
🔍	lente di ingrandimento rivolta a sinistra
🔎	lente di ingrandimento rivolta a destra
🔏	lucchetto con penna stilo
🔐	lucchetto chiuso con chiave
🔑	chiave
🔒	lucchetto chiuso
🔓	lucchetto aperto
🔔	campana
🔕	campana sbarrata
🔖	segnalibro
🔗	collegamento
🔘	pulsante opzione
🔙	freccia BACK
🔚	freccia END
🔛	freccia ON
🔜	freccia SOON
🔝	freccia TOP
🔞	vietato ai minori di diciotto anni
🔟	tasto con il numero dieci
🔠	lettere maiuscole
🔡	lettere minuscole
🔢	numeri
🔣	simboli
🔤	caratteri alfabetici
🔥	fuoco
🔦	torcia
🔧	chiave inglese
🔨	martello
🔩	vite e bullone
🔪	coltello da cucina
🔫	pistola
🔬	microscopio
🔭	telescopio
🔮	sfera di cristallo
🔯	stella a sei punte
🔰	principiante
🔱	tridente
🔲	pulsante quadrato pieno
🔳	pulsante quadrato con contorno
🔴	cerchio rosso
🔵	cerchio blu
🔶	rombo arancione grande
🔷	rombo blu grande
🔸	rombo arancione piccolo
🔹	rombo blu piccolo
🔺	triangolo rosso punta in alto
🔻	triangolo rosso punta in basso
🔼	pulsante triangolo alto
🔽	pulsante triangolo basso
🕉	Om
🕊	colomba
🕋	Kaaba
🕌	moschea
🕍	sinagoga
🕎	Menorah
🕐	ore una
🕑	ore due
🕒	ore tre
🕓	ore quattro
🕔	ore cinque
🕕	ore sei
🕖	ore sette
🕗	ore otto
🕘	ore nove
🕙	ore dieci
🕚	ore undici
🕛	ore dodici
🕜	ore una e mezza
🕝	ore due e mezza
🕞	ore tre e mezza
🕟	ore quattro e mezza
🕠	ore cinque e mezza
🕡	ore sei e mezza
🕢	ore sette e mezza
🕣	ore otto e mezza
🕤	ore nove e mezza
🕥	ore dieci e mezza
🕦	ore undici e mezza
🕧	ore dodici e mezza
🕯	candela
🕰	orologio da mensola
🕳	buco
🕴	uomo elegante che levita
🕵	detective
🕶	occhiali da sole
🕷	ragno
🕸	ragnatela
🕹	joystick
🕺	uomo che balla
🖇	graffette attaccate
🖊	penna a sfera
🖋	penna stilografica
🖌	pennello
🖍	pastello a cera
🖐	mano aperta
🖕	dito medio
🖖	saluto vulcaniano
🖤	cuore nero
🖥	computer fisso
🖨	stampante
🖱	mouse
🖲	trackball
🖼	quadro incorniciato
🗂	divisori per schedario
🗃	schedario da tavolo
🗄	schedario da ufficio
🗑	cestino
🗒	blocco per appunti con spirale
🗓	calendario a spirale
🗜	morsetto
🗝	chiave antica
🗞	quotidiano arrotolato
🗡	pugnale
🗣	persona che parla
